GenomeAccession	Species	Gene	Start	End	Length	Strand	ReferenceAccession
NC_035584	Pityopus_californicus	trny-gua	32937	33020	84	+	NC_021423.1
NC_035584	Pityopus_californicus	trny-gua	32937	33020	84	+	NC_021423.1
NC_035584	Pityopus_californicus	trny-gua	32937	33020	84	+	NC_021423.1
NC_035584	Pityopus_californicus	trny-gua	32937	33020	84	+	NC_021423.1
NC_035584	Pityopus_californicus	trny-gua	32937	33020	84	+	NC_021423.1
NC_035584	Pityopus_californicus	trny-gua	32937	33020	84	+	NC_021423.1
MF120270	Pterospora_andromedea	ndha	7095	7135	41	-	NC_021423.1
MF120270	Pterospora_andromedea	psba	3823	4242	420	+	NC_021423.1
MF120270	Pterospora_andromedea	psba	3823	4036	214	+	NC_021423.1
MF120270	Pterospora_andromedea	psba	3823	4036	214	+	NC_021423.1
MF120270	Pterospora_andromedea	rpl36	24693	24806	114	+	NC_021423.1
MF120270	Pterospora_andromedea	rpl36	24693	24806	114	+	NC_021423.1
MF120270	Pterospora_andromedea	rpl36	24693	24806	114	+	NC_021423.1
MF120270	Pterospora_andromedea	rpl36	24693	24806	114	+	NC_021423.1
MF120270	Pterospora_andromedea	rpl36	24693	24806	114	+	NC_021423.1
MF120270	Pterospora_andromedea	rps3	21215	21689	475	+	NC_021423.1
MF120270	Pterospora_andromedea	trnd-guc	28959	29032	74	-	NC_021423.1
MF120270	Pterospora_andromedea	trnd-guc	28959	29032	74	-	NC_021423.1
MF120270	Pterospora_andromedea	trnd-guc	28959	29032	74	-	NC_021423.1
MF120270	Pterospora_andromedea	trnd-guc	28959	29032	74	-	NC_021423.1
MF120270	Pterospora_andromedea	trnd-guc	28959	29032	74	-	NC_021423.1
MF120270	Pterospora_andromedea	trnd-guc	28959	29032	74	-	NC_021423.1
MF120270	Pterospora_andromedea	trnd-guc	28959	29032	74	-	NC_021423.1
MF120270	Pterospora_andromedea	trne-uuc	29269	29342	74	-	NC_008788.1
MF120270	Pterospora_andromedea	trne-uuc	29270	29342	73	-	NC_008788.1
MF120270	Pterospora_andromedea	trne-uuc	29270	29342	73	-	NC_008788.1
MF120270	Pterospora_andromedea	trne-uuc	29270	29342	73	-	NC_008788.1
MF120270	Pterospora_andromedea	trne-uuc	29270	29342	73	-	NC_008788.1
MF120270	Pterospora_andromedea	trnfm-cau	34997	35049	53	-	NC_021423.1
MF120270	Pterospora_andromedea	trnfm-cau	35001	35049	49	-	NC_021423.1
MF120270	Pterospora_andromedea	trnfm-cau	35001	35049	49	-	NC_021423.1
MF120270	Pterospora_andromedea	trnfm-cau	35001	35049	49	-	NC_021423.1
MF120270	Pterospora_andromedea	trnfm-cau	35001	35049	49	-	NC_021423.1
MF120270	Pterospora_andromedea	trnfm-cau	35001	35049	49	-	NC_021423.1
MF120270	Pterospora_andromedea	trnh-gug	18157	18231	75	-	MT742578.1
MF120270	Pterospora_andromedea	trni-cau	17502	17575	74	+	NC_021423.1
MF120270	Pterospora_andromedea	trni-cau	17502	17575	74	+	NC_021423.1
MF120270	Pterospora_andromedea	trni-cau	17502	17575	74	+	NC_021423.1
MF120270	Pterospora_andromedea	trni-cau	17502	17575	74	+	NC_021423.1
MF120270	Pterospora_andromedea	trni-cau	17502	17575	74	+	NC_021423.1
MF120270	Pterospora_andromedea	trni-cau	17502	17575	74	+	NC_021423.1
MF120270	Pterospora_andromedea	trnk-uuu	914	3569	2656	+	NC_021423.1
MF120270	Pterospora_andromedea	trnm-cau	38377	38449	73	+	NC_021423.1
MF120270	Pterospora_andromedea	trnm-cau	38377	38449	73	+	NC_021423.1
MF120270	Pterospora_andromedea	trnm-cau	38377	38449	73	+	NC_021423.1
MF120270	Pterospora_andromedea	trnm-cau	38377	38449	73	+	NC_021423.1
MF120270	Pterospora_andromedea	trnm-cau	38377	38449	73	+	NC_021423.1
MF120270	Pterospora_andromedea	trnn-guu	14889	14960	72	-	MT742578.1
MF120270	Pterospora_andromedea	trnn-guu	14889	14960	72	-	MT742578.1
MF120270	Pterospora_andromedea	trnn-guu	14889	14960	72	-	MT742578.1
MF120270	Pterospora_andromedea	trnn-guu	14889	14960	72	-	MT742578.1
MF120270	Pterospora_andromedea	trnn-guu	14889	14960	72	-	MT742578.1
MF120270	Pterospora_andromedea	trnq-uug	583	644	62	+	MT742578.1
MF120270	Pterospora_andromedea	trns-gcu	138	225	88	+	NC_021423.1
MF120270	Pterospora_andromedea	trns-gcu	138	225	88	+	NC_021423.1
MF120270	Pterospora_andromedea	trns-gcu	138	225	88	+	NC_021423.1
MF120270	Pterospora_andromedea	trns-gcu	138	225	88	+	NC_021423.1
MF120270	Pterospora_andromedea	trns-gga	138	225	88	+	NC_021423.1
MF120270	Pterospora_andromedea	trns-gga	197	225	29	+	NC_021423.1
MF120270	Pterospora_andromedea	trns-gga	197	225	29	+	NC_021423.1
MF120270	Pterospora_andromedea	trns-gga	197	225	29	+	NC_021423.1
MF120270	Pterospora_andromedea	trns-gga	197	225	29	+	NC_021423.1
MF120270	Pterospora_andromedea	trns-gga	197	225	29	+	NC_021423.1
MF120270	Pterospora_andromedea	trnv-uac	39770	40137	368	+	NC_008788.1
MF120270	Pterospora_andromedea	trny-gua	29145	29229	85	-	NC_021423.1
MF120270	Pterospora_andromedea	trny-gua	29148	29229	82	-	NC_021423.1
MF120270	Pterospora_andromedea	trny-gua	29148	29229	82	-	NC_021423.1
MF120270	Pterospora_andromedea	trny-gua	29148	29229	82	-	NC_021423.1
MF120270	Pterospora_andromedea	trny-gua	29148	29229	82	-	NC_021423.1
MF120270	Pterospora_andromedea	trny-gua	29148	29229	82	-	NC_021423.1
NC_088559	Pyrola_atropurpurea	ndha	137934	140174	2241	-	NC_021423.1
NC_088559	Pyrola_atropurpurea	ndha	167315	167355	41	+	NC_021423.1
NC_088559	Pyrola_atropurpurea	ndhd	133802	135260	1459	-	NC_021423.1
NC_088559	Pyrola_atropurpurea	ndhf	142779	143901	1123	+	MT742578.1
NC_088559	Pyrola_atropurpurea	ndhg	136415	136898	484	-	MT742578.1
NC_088559	Pyrola_atropurpurea	ndhg	136415	136898	484	-	MT742578.1
NC_088559	Pyrola_atropurpurea	ndhg	136415	136898	484	-	MT742578.1
NC_088559	Pyrola_atropurpurea	ndhh	140184	141323	1140	-	NC_021423.1
NC_088559	Pyrola_atropurpurea	ndhk	19070	19769	700	-	NC_021423.1
NC_088559	Pyrola_atropurpurea	ndhk	19070	19769	700	-	NC_021423.1
NC_088559	Pyrola_atropurpurea	ndhk	19219	19769	551	-	NC_021423.1
NC_088559	Pyrola_atropurpurea	psbz	62043	62229	187	-	NC_021423.1
NC_088559	Pyrola_atropurpurea	psbz	62043	62229	187	-	NC_021423.1
NC_088559	Pyrola_atropurpurea	psbz	62043	62229	187	-	NC_021423.1
PV200167	Pyrola_decorata	ndha	145200	147440	2241	-	NC_021423.1
PV200167	Pyrola_decorata	ndha	174779	174819	41	+	NC_021423.1
PV200167	Pyrola_decorata	ndhd	141068	142526	1459	-	NC_021423.1
PV200167	Pyrola_decorata	ndhf	150046	151168	1123	+	MT742578.1
PV200167	Pyrola_decorata	ndhg	143681	144164	484	-	MT742578.1
PV200167	Pyrola_decorata	ndhg	143681	144164	484	-	MT742578.1
PV200167	Pyrola_decorata	ndhg	143681	144164	484	-	MT742578.1
PV200167	Pyrola_decorata	ndhh	147450	148589	1140	-	NC_021423.1
PV200167	Pyrola_decorata	ndhk	41385	41935	551	+	NC_021423.1
PV200167	Pyrola_decorata	ndhk	41385	42084	700	+	NC_021423.1
PV200167	Pyrola_decorata	ndhk	41385	42084	700	+	NC_021423.1
PV200167	Pyrola_decorata	psbz	83253	83439	187	+	NC_021423.1
PV200167	Pyrola_decorata	psbz	83253	83439	187	+	NC_021423.1
PV200167	Pyrola_decorata	psbz	83253	83439	187	+	NC_021423.1
KU833271	Pyrola_rotundifolia	accd	36578	37122	545	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndha	138063	140218	2156	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndha	139097	140218	1122	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndha	140218	162540	22323	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhb	111721	113939	2219	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhb	111721	113939	2219	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhb	111721	113939	2219	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhb	164230	166448	2219	+	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhb	164230	166448	2219	+	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhb	164230	166448	2219	+	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhc	15271	15645	375	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhc	15271	15645	375	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhc	15271	15645	375	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhd	133959	135445	1487	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhe	136052	136357	306	-	NC_008788.1
KU833271	Pyrola_rotundifolia	ndhe	136052	136357	306	-	NC_008788.1
KU833271	Pyrola_rotundifolia	ndhe	136052	136357	306	-	NC_008788.1
KU833271	Pyrola_rotundifolia	ndhf	142807	145011	2205	+	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhf	142807	145011	2205	+	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhf	142807	144251	1445	+	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhf	142807	144251	1445	+	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhh	140220	141401	1182	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhh	140220	141401	1182	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhh	140220	141401	1182	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhh	140220	141401	1182	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhi	137454	137973	520	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhi	137479	137973	495	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhi	137479	137973	495	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhj	13947	14423	477	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhj	13947	14423	477	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhj	13947	14423	477	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhj	13947	14423	477	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhj	13947	14423	477	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhj	13947	14423	477	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhk	14535	15212	678	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhk	14535	15212	678	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhk	14535	15212	678	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ndhk	14616	15212	597	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ycf2	110418	110627	210	+	NC_021423.1
KU833271	Pyrola_rotundifolia	ycf2	110418	110627	210	+	NC_021423.1
KU833271	Pyrola_rotundifolia	ycf2	110418	110627	210	+	NC_021423.1
KU833271	Pyrola_rotundifolia	ycf2	167542	167751	210	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ycf2	167542	167751	210	-	NC_021423.1
KU833271	Pyrola_rotundifolia	ycf2	167542	167751	210	-	NC_021423.1
OR129260	Rhododendron_ovatum	accd	58268	59454	1187	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf1	72470	123860	51391	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf1	72470	72533	64	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf1	72470	72533	64	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf1	72470	72533	64	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf1	72470	72533	64	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf1	86439	86502	64	-	NC_021423.1
OR129260	Rhododendron_ovatum	ycf1	143541	180277	36737	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf1	143541	143604	64	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf1	143541	143604	64	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf1	143541	143604	64	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf1	143541	143604	64	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf1	160533	160596	64	-	NC_021423.1
OR129260	Rhododendron_ovatum	ycf2	98731	101857	3127	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf2	98731	99032	302	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf2	98731	99032	302	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf2	98731	99032	302	+	NC_021423.1
OR129260	Rhododendron_ovatum	ycf2	98731	99032	302	+	NC_021423.1
PQ284534	Vaccinium_bracteatum	accd	45307	45865	559	-	NC_021423.1
PQ284534	Vaccinium_bracteatum	infa	88006	88137	132	-	PP722976.1
PQ284534	Vaccinium_bracteatum	trng-ucc	52806	52876	71	+	NC_021423.1
PQ284534	Vaccinium_bracteatum	trng-ucc	62468	63218	751	+	NC_021423.1
PQ284534	Vaccinium_bracteatum	trng-ucc	62468	63218	751	+	NC_021423.1
PQ284534	Vaccinium_bracteatum	ycf2	96236	99311	3076	+	NC_021423.1
PQ284534	Vaccinium_bracteatum	ycf2	96236	96540	305	+	NC_021423.1
PQ284534	Vaccinium_bracteatum	ycf2	96236	96536	301	+	NC_021423.1
NC_068711	Vaccinium_corymbosum	accd	45189	45741	553	-	NC_021423.1
NC_068711	Vaccinium_corymbosum	infa	88162	88293	132	-	PP722976.1
NC_068711	Vaccinium_corymbosum	psbn	41311	41442	132	-	NC_021423.1
NC_068711	Vaccinium_corymbosum	psbn	41311	41442	132	-	NC_021423.1
NC_068711	Vaccinium_corymbosum	psbn	41311	41442	132	-	NC_021423.1
NC_068711	Vaccinium_corymbosum	ycf2	96402	99499	3098	+	NC_021423.1
NC_068711	Vaccinium_corymbosum	ycf2	96402	96699	298	+	NC_021423.1
